ID,Barcode,Manufacturer,Model,Serial,CPU_Raw,Corporate Supplier,Grade,CPU Generation
,27,HP            ,HP ProBook 430 G3  ,5CD61973CS    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,a,6th Gen
,29,HP            ,HP ProBook 430 G3  ,5CD61973DJ    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,c,6th Gen
,31,HP            ,HP ProBook 430 G3  ,5CD61973BF    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,b,6th Gen
,32,HP            ,HP ProBook 430 G3  ,5CD61973CZ    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,b,6th Gen
,33,HP            ,HP ProBook 430 G3  ,5CD61973BC    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,a,6th Gen
,34,HP            ,HP ProBook 430 G3  ,5CD61973DG    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,b,6th Gen
,36,HP            ,HP ProBook 430 G3  ,5CD61973D4    ,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz  ,,a,6th Gen
,37,Dell Inc.     ,Latitude 5300  ,8XHDQT2       ,Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz  ,,b,8th Gen
,test2,ASUSTeK COMPUTER INC.  ,ROG Strix G513IE_G513IE  ,N3NRKD03324310B  ,AMD Ryzen 7 4800H with Radeon Graphics  ,,b,4th Gen
,test3,ASUSTeK COMPUTER INC.  ,ROG Strix G513IE_G513IE  ,N3NRKD03324310B  ,AMD Ryzen 7 4800H with Radeon Graphics  ,,c,4th Gen
